mount_type,fixture_configuration,wind_speed_mph,pole_height_ft,Alaskan Yellow Cedar Poles EPA,Southern Yellow Pine Poles EPA,ero_vista_pole_size
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,8,6.93,7.83,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,8,6.36,7.2,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,8,5.42,6.13,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,8,4.68,5.29,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,8,4.07,4.61,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,8,3.58,4.05,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,10,6.93,7.83,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,10,6.36,7.2,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,10,5.42,6.13,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,10,4.68,5.29,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,10,4.07,4.61,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,10,3.58,4.05,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,12,6.93,7.83,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,12,6.36,7.2,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,12,5.42,6.13,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,12,4.68,5.29,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,12,3.9,4.61,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,12,2.81,4.05,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,14,6.85,7.74,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,14,5.84,7.11,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,14,4.1,6.06,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,14,2.71,5.23,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,14,1.59,4.55,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,14,0.68,3.95,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,16,4.04,7.57,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,16,3.15,6.95,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,16,1.68,5.81,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,16,0.51,4.14,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,16,0,2.8,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,16,0,1.7,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,18,1.61,6.15,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,18,0.85,5.08,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,18,0,3.27,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,18,0,1.84,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,18,0,0.69,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,18,0,0,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,20,0,1.27,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,115 - 120 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,120 - 130 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,130 - 140 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,140 - 150 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,150 - 160 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,8,14.97,16.92,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,8,13.75,15.54,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,8,11.72,13.25,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,8,10.1,11.42,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,8,8.8,9.95,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,8,7.74,8.74,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,10,14.97,16.92,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,10,13.75,15.54,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,10,11.72,13.25,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,10,10.1,11.42,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,10,8.8,9.95,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,10,7.74,8.74,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,12,14.97,16.92,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,12,13.75,15.54,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,12,11.72,13.25,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,12,10.1,11.42,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,12,8.8,9.95,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,12,7.74,8.74,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,14,14.8,16.73,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,14,13.59,15.36,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,14,11.58,13.09,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,14,9.99,11.29,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,14,8.7,9.83,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,14,7.36,8.64,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,16,14.46,16.35,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,16,13.28,15.02,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,16,10.52,12.79,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,16,7.9,11.03,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,16,5.78,9.61,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,16,4.05,8.43,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,18,11.37,15.99,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,18,9.66,14.68,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,18,6.81,12.51,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,18,4.56,9.5,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,18,2.73,7.04,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,18,1.24,5.03,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,20,7.58,14.01,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,20,6.1,12,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,20,3.62,8.65,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,20,1.66,6,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,20,0,3.86,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,20,0,2.1,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,22,4.28,10,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,22,2.98,8.22,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,22,0.81,5.27,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,22,0,2.93,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,22,0,1.06,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,22,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,24,1.48,6.64,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,24,0,5.06,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,24,0,2.42,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,24,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,24,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,24,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,26,0,3.44,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,26,0,2.03,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,26,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,26,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,26,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,26,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,28,0,0.69,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,28,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,28,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,28,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,28,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,28,0,0,"6-3/4"" x 6-3/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,8,28.48,32.19,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,8,26.16,29.57,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,8,22.29,25.19,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,8,19.22,21.72,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,8,16.74,18.92,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,8,14.71,16.63,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,10,28.48,32.19,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,10,26.16,29.57,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,10,22.29,25.19,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,10,19.22,21.72,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,10,16.74,18.92,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,10,14.71,16.63,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,12,28.48,32.19,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,12,26.16,29.57,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,12,22.29,25.19,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,12,19.22,21.72,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,12,16.74,18.92,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,12,14.71,16.63,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,14,28.15,31.82,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,14,25.85,29.22,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,14,22.03,24.9,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,14,19,21.47,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,14,16.55,18.71,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,14,14.54,16.44,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,16,27.51,31.1,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,16,25.27,28.56,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,16,21.53,24.34,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,16,18.56,20.98,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,16,16.17,18.28,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,16,13.49,16.07,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,18,26.9,30.41,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,18,24.7,27.93,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,18,19.58,23.79,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,18,15.26,20.52,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,18,11.76,17.87,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,18,8.91,15.69,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,20,21.87,29.74,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,20,19.02,27.32,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,20,14.26,23.28,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,20,10.49,18.42,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,20,7.45,14.31,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,20,4.95,10.94,"8-1/2"" x 8-1/4"""
