wood_type,mount_type,fixture_configuration,wind_speed_mph,pole_height_ft,epa,ero_vista_pole_size
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,8,6.93,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,8,6.36,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,8,5.42,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,8,4.68,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,8,4.07,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,8,3.58,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,10,6.93,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,10,6.36,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,10,5.42,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,10,4.68,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,10,4.07,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,10,3.58,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,12,6.93,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,12,6.36,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,12,5.42,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,12,4.68,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,12,3.9,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,12,2.81,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,14,6.85,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,14,5.84,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,14,4.1,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,14,2.71,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,14,1.59,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,14,0.68,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,16,4.04,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,16,3.15,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,16,1.68,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,16,0.51,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,16,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,16,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,18,1.61,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,18,0.85,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,18,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,18,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,18,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,18,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,20,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,20,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,20,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,20,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,20,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,20,0,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,8,14.97,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,8,13.75,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,8,11.72,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,8,10.1,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,8,8.8,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,8,7.74,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,10,14.97,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,10,13.75,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,10,11.72,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,10,10.1,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,10,8.8,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,10,7.74,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,12,14.97,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,12,13.75,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,12,11.72,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,12,10.1,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,12,8.8,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,12,7.74,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,14,14.8,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,14,13.59,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,14,11.58,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,14,9.99,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,14,8.7,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,14,7.36,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,16,14.46,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,16,13.28,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,16,10.52,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,16,7.9,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,16,5.78,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,16,4.05,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,18,11.37,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,18,9.66,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,18,6.81,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,18,4.56,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,18,2.73,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,18,1.24,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,20,7.58,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,20,6.1,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,20,3.62,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,20,1.66,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,20,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,20,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,22,4.28,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,22,2.98,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,22,0.81,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,24,1.48,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,8,28.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,8,26.16,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,8,22.29,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,8,19.22,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,8,16.74,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,8,14.71,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,10,28.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,10,26.16,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,10,22.29,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,10,19.22,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,10,16.74,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,10,14.71,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,12,28.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,12,26.16,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,12,22.29,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,12,19.22,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,12,16.74,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,12,14.71,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,14,28.15,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,14,25.85,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,14,22.03,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,14,19,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,14,16.55,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,14,14.54,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,16,27.51,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,16,25.27,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,16,21.53,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,16,18.56,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,16,16.17,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,16,13.49,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,18,26.9,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,18,24.7,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,18,19.58,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,18,15.26,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,18,11.76,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,18,8.91,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,20,21.87,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,20,19.02,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,20,14.26,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,20,10.49,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,20,7.45,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,20,4.95,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,22,16.16,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,22,13.66,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,22,9.5,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,22,6.2,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,22,3.54,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,22,1.36,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,24,11.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,24,9.26,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,24,5.56,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,24,2.62,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,24,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,24,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,26,7.08,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,26,5.1,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,26,1.82,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,26,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,26,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,26,0,"8-1/2"" x 8-1/4"""
